order,Delay,Test.Time,Prolific.ID,Participant.Private.ID,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,answer,original_response,lure_recalled,intrusions
1274,delay,AM,,8169101,Firefox 110.0,2560x1440,2560x1440,cup,NA,0,0
1275,delay,AM,,8169101,Firefox 110.0,2560x1440,2560x1440,cold,cold,1,0
1276,delay,AM,,8169101,Firefox 110.0,2560x1440,2560x1440,mountain,mountain,1,0
1277,delay,AM,,8169101,Firefox 110.0,2560x1440,2560x1440,slow,NA,0,0
1278,delay,AM,,8169101,Firefox 110.0,2560x1440,2560x1440,river,NA,0,0
1279,delay,AM,,8169101,Firefox 110.0,2560x1440,2560x1440,spider,spider,1,0
1280,delay,AM,,8169101,Firefox 110.0,2560x1440,2560x1440,foot,NA,0,0
1621,delay,AM,,8235017,Chrome 110.0.0.0,1280x800,1280x800,window,NA,0,4
1622,delay,AM,,8235017,Chrome 110.0.0.0,1280x800,1280x800,sleep,NA,0,4
1623,delay,AM,,8235017,Chrome 110.0.0.0,1280x800,1280x800,doctor,NA,0,4
1624,delay,AM,,8235017,Chrome 110.0.0.0,1280x800,1280x800,smell,NA,0,4
1625,delay,AM,,8235017,Chrome 110.0.0.0,1280x800,1280x800,chair,NA,0,4
1626,delay,AM,,8235017,Chrome 110.0.0.0,1280x800,1280x800,smoke,NA,0,4
1627,delay,AM,,8235017,Chrome 110.0.0.0,1280x800,1280x800,sweet,NA,0,4
1628,delay,AM,,8235017,Chrome 110.0.0.0,1280x800,1280x800,rough,NA,0,4
1629,delay,AM,,8235017,Chrome 110.0.0.0,1280x800,1280x800,needle,NA,0,4
1630,delay,AM,,8235017,Chrome 110.0.0.0,1280x800,1280x800,rubbish,NA,0,4
1631,delay,AM,,8235017,Chrome 110.0.0.0,1280x800,1280x800,anger,NA,0,4
1632,delay,AM,,8235017,Chrome 110.0.0.0,1280x800,1280x800,soft,NA,0,4
1633,delay,AM,,8235017,Chrome 110.0.0.0,1280x800,1280x800,city,NA,0,4
1634,delay,AM,,8235017,Chrome 110.0.0.0,1280x800,1280x800,cup,NA,0,4
1635,delay,AM,,8235017,Chrome 110.0.0.0,1280x800,1280x800,cold,NA,0,4
1636,delay,AM,,8235017,Chrome 110.0.0.0,1280x800,1280x800,mountain,NA,0,4
1637,delay,AM,,8235017,Chrome 110.0.0.0,1280x800,1280x800,slow,NA,0,4
1638,delay,AM,,8235017,Chrome 110.0.0.0,1280x800,1280x800,river,NA,0,4
1639,delay,AM,,8235017,Chrome 110.0.0.0,1280x800,1280x800,spider,spider,1,4
1640,delay,AM,,8235017,Chrome 110.0.0.0,1280x800,1280x800,foot,NA,0,4
1801,delay,AM,,8367650,Chrome 110.0.0.0,1440x900,1440x900,window,NA,0,2
1802,delay,AM,,8367650,Chrome 110.0.0.0,1440x900,1440x900,sleep,NA,0,2
1803,delay,AM,,8367650,Chrome 110.0.0.0,1440x900,1440x900,doctor,NA,0,2
1804,delay,AM,,8367650,Chrome 110.0.0.0,1440x900,1440x900,smell,NA,0,2
1805,delay,AM,,8367650,Chrome 110.0.0.0,1440x900,1440x900,chair,NA,0,2
1806,delay,AM,,8367650,Chrome 110.0.0.0,1440x900,1440x900,smoke,NA,0,2
1807,delay,AM,,8367650,Chrome 110.0.0.0,1440x900,1440x900,sweet,NA,0,2
1808,delay,AM,,8367650,Chrome 110.0.0.0,1440x900,1440x900,rough,NA,0,2
1809,delay,AM,,8367650,Chrome 110.0.0.0,1440x900,1440x900,needle,needle,1,2
1810,delay,AM,,8367650,Chrome 110.0.0.0,1440x900,1440x900,rubbish,NA,0,2
1811,delay,AM,,8367650,Chrome 110.0.0.0,1440x900,1440x900,anger,NA,0,2
1812,delay,AM,,8367650,Chrome 110.0.0.0,1440x900,1440x900,soft,NA,0,2
1813,delay,AM,,8367650,Chrome 110.0.0.0,1440x900,1440x900,city,NA,0,2
1814,delay,AM,,8367650,Chrome 110.0.0.0,1440x900,1440x900,cup,NA,0,2
1815,delay,AM,,8367650,Chrome 110.0.0.0,1440x900,1440x900,cold,NA,0,2
1816,delay,AM,,8367650,Chrome 110.0.0.0,1440x900,1440x900,mountain,NA,0,2
1817,delay,AM,,8367650,Chrome 110.0.0.0,1440x900,1440x900,slow,NA,0,2
1818,delay,AM,,8367650,Chrome 110.0.0.0,1440x900,1440x900,river,NA,0,2
1819,delay,AM,,8367650,Chrome 110.0.0.0,1440x900,1440x900,spider,NA,0,2
1820,delay,AM,,8367650,Chrome 110.0.0.0,1440x900,1440x900,foot,NA,0,2
1981,delay,AM,,8367283,Chrome 110.0.0.0,1440x900,1440x900,window,NA,0,14
1982,delay,AM,,8367283,Chrome 110.0.0.0,1440x900,1440x900,sleep,sleep,1,14
1983,delay,AM,,8367283,Chrome 110.0.0.0,1440x900,1440x900,doctor,NA,0,14
1984,delay,AM,,8367283,Chrome 110.0.0.0,1440x900,1440x900,smell,smell,1,14
1985,delay,AM,,8367283,Chrome 110.0.0.0,1440x900,1440x900,chair,chair,1,14
1986,delay,AM,,8367283,Chrome 110.0.0.0,1440x900,1440x900,smoke,smoke,1,14
1987,delay,AM,,8367283,Chrome 110.0.0.0,1440x900,1440x900,sweet,NA,0,14
1988,delay,AM,,8367283,Chrome 110.0.0.0,1440x900,1440x900,rough,rough,1,14
1989,delay,AM,,8367283,Chrome 110.0.0.0,1440x900,1440x900,needle,NA,0,14
1990,delay,AM,,8367283,Chrome 110.0.0.0,1440x900,1440x900,rubbish,NA,0,14
1991,delay,AM,,8367283,Chrome 110.0.0.0,1440x900,1440x900,anger,anger,1,14
1992,delay,AM,,8367283,Chrome 110.0.0.0,1440x900,1440x900,soft,soft,1,14
1993,delay,AM,,8367283,Chrome 110.0.0.0,1440x900,1440x900,city,city,1,14
1994,delay,AM,,8367283,Chrome 110.0.0.0,1440x900,1440x900,cup,NA,0,14
1995,delay,AM,,8367283,Chrome 110.0.0.0,1440x900,1440x900,cold,cold,1,14
1996,delay,AM,,8367283,Chrome 110.0.0.0,1440x900,1440x900,mountain,NA,0,14
1997,delay,AM,,8367283,Chrome 110.0.0.0,1440x900,1440x900,slow,NA,0,14
1998,delay,AM,,8367283,Chrome 110.0.0.0,1440x900,1440x900,river,NA,0,14
1999,delay,AM,,8367283,Chrome 110.0.0.0,1440x900,1440x900,spider,spider,1,14
2000,delay,AM,,8367283,Chrome 110.0.0.0,1440x900,1440x900,foot,foot,1,14
2161,delay,AM,,8389380,Chrome 109.0.0.0,1536x864,1536x864,window,NA,0,2
2162,delay,AM,,8389380,Chrome 109.0.0.0,1536x864,1536x864,sleep,NA,0,2
2163,delay,AM,,8389380,Chrome 109.0.0.0,1536x864,1536x864,doctor,NA,0,2
2164,delay,AM,,8389380,Chrome 109.0.0.0,1536x864,1536x864,smell,NA,0,2
2165,delay,AM,,8389380,Chrome 109.0.0.0,1536x864,1536x864,chair,NA,0,2
2166,delay,AM,,8389380,Chrome 109.0.0.0,1536x864,1536x864,smoke,NA,0,2
2167,delay,AM,,8389380,Chrome 109.0.0.0,1536x864,1536x864,sweet,NA,0,2
2168,delay,AM,,8389380,Chrome 109.0.0.0,1536x864,1536x864,rough,NA,0,2
2169,delay,AM,,8389380,Chrome 109.0.0.0,1536x864,1536x864,needle,NA,0,2
2170,delay,AM,,8389380,Chrome 109.0.0.0,1536x864,1536x864,rubbish,NA,0,2
2171,delay,AM,,8389380,Chrome 109.0.0.0,1536x864,1536x864,anger,NA,0,2
2172,delay,AM,,8389380,Chrome 109.0.0.0,1536x864,1536x864,soft,NA,0,2
2173,delay,AM,,8389380,Chrome 109.0.0.0,1536x864,1536x864,city,NA,0,2
2174,delay,AM,,8389380,Chrome 109.0.0.0,1536x864,1536x864,cup,NA,0,2
2175,delay,AM,,8389380,Chrome 109.0.0.0,1536x864,1536x864,cold,NA,0,2
2176,delay,AM,,8389380,Chrome 109.0.0.0,1536x864,1536x864,mountain,NA,0,2
